ThermalExpansionCoefficient_arithmetic_average,BCCenergy_pa_arithmetic_average,ThirdIonizationEnergy_arithmetic_average,Density_composition_average,IsPnictide_composition_average,HeatCapacityMolar_composition_average,valence_arithmetic_average,HeatFusion_arithmetic_average,HeatFusion_composition_average,IonicRadii_composition_average,SpaceGroupNumber_composition_average,GSenergy_pa_arithmetic_average,ThermalExpansionCoefficient_composition_average,BCCfermi_arithmetic_average,AtomicWeight_composition_average,AtomicNumber_composition_average,CovalentRadii_arithmetic_average,phi_arithmetic_average,BCCfermi_composition_average,HeatVaporization_composition_average,ElasticModulus_composition_average,NValance_composition_average,HeatCapacityMolar_arithmetic_average,GSbandgap_arithmetic_average,NUnfilled_composition_average
172.0,-4.247722582000001,49.5992,1515.5442159999998,0.0,27.462792,2.6,8.226,3.61816,1.13888,112.11,-4.769121335,407.0646,4.61356377,35.8065480688,15.694,1.168,2.734,3.03223493108,146.2788536,17.788,4.05,26.1816,0.0,3.162
209.95,-4.195604755000001,56.0125,1680.5056929999998,0.0,27.952056,2.5,5.8925,3.95604,1.17078,83.806,-4.83236303,486.4,3.5129614325,36.40063179,16.317,1.1324999999999998,2.455,3.43275924305,145.2714153,29.11,4.936999999999999,26.602,0.0,3.995
171.14,-4.084508840000001,49.5018,1484.582636363636,0.0,27.50062737262737,3.2,9.56,3.4787212787212787,1.1460839160839158,110.3146853146853,-4.6482972123340005,412.203996003996,4.652331924,35.99643012987013,15.73126873126873,1.204,1.894,3.026093059340659,137.7508090909091,16.549450549450547,4.194805194805195,26.4876,0.0928,3.061938061938062
81.0,-3.18378671,62.487,1387.536,0.122,23.679528,4.0,7.753666666666667,4.271728,0.4586599999999999,123.714,-3.78920422375,67.594,6.020223276666666,22.133508964,10.808,1.1033333333333333,2.8,5.10649811908,63.7618,13.782,3.928,23.794666666666668,1.2756666666666665,1.732
196.94,-4.063955566,52.7006,800.245424,0.164,27.661944,3.0,9.324000000000002,4.88519,1.06561,46.101000000000006,-4.7095676195000005,536.9434,4.821768334000001,20.9514499856,10.175,1.104,3.28,4.084508529680001,58.9116504,12.888000000000002,5.247,25.4644,0.325,2.699
194.32,-4.568336372,51.9632,816.0747110000001,0.165,27.693482000000003,3.0,10.002,4.958030000000001,1.06945,44.692,-5.217585613500001,538.9724,4.159313858,21.345729362,10.354,1.156,3.09,4.04526250462,59.4499831,13.255,5.274,25.7284,0.325,2.77
196.36,-3.387374922,54.04639999999999,676.321143,0.167,27.606642,3.0,13.882,5.48871,1.07097,46.04400000000001,-4.0777301045000005,546.5761,5.102546656,20.5485178278,9.945,1.084,3.43,4.200539861460001,41.7433703,9.1115,5.641000000000001,25.0968,0.4016,2.265
171.32,-4.113363308,50.0518,1650.7389000999003,0.0,27.4368011988012,2.6,7.201,3.599665334665335,1.1244555444555444,109.2927072927073,-4.6224877715,396.7471528471529,3.850720432,36.82456064935065,16.153846153846157,1.184,2.714,3.0161447448551453,147.99189000999004,16.92807192807193,4.387612387612387,26.5476,0.0,3.194805194805196
240.4,-4.167397675,58.764,834.7963466533467,0.1668331668331668,27.719834165834165,3.0,8.9775,4.976593406593406,1.0713886113886113,42.65334665334666,-4.950603744375,544.4551448551448,4.0861920625,21.52462642757243,10.44055944055944,1.085,3.05,4.070388048571428,59.72094935064935,13.591408591408593,5.331668331668332,25.7805,0.40625,2.776223776223776
49.12,-3.081583244,52.11279999999999,1403.8664344344345,0.058058058058058,23.545085085085084,4.6,15.3342,6.607060060060061,0.4807907907907908,138.41641641641644,-3.71539288625,58.47247247247247,6.037559679999999,22.05592612212212,10.79079079079079,1.082,2.62,5.0703934709809815,87.56976976976975,24.5015015015015,3.881881881881882,25.0646,1.4186,1.7997997997998
